code_etudiant,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,result,type
1192,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,Dropout,app
1193,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,NonPassionne,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,Dropout,app
1194,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,NonPassionne,Dropout,app
1195,TPassionne,TPassionne,TPassionne,TPassionne,MoyPassionne,TPassionne,PeuPassionne,TPassionne,TPassionne,TPassionne,TPassionne,TPassionne,TPassionne,TPassionne,TPassionne,TPassionne,TPassionne,PeuPassionne,TPassionne,TPassionne,TPassionne,TPassionne,TPassionne,TPassionne,TPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,Dropout,app
1196,MoyPassionne,MoyPassionne,MoyPassionne,TPassionne,MoyPassionne,TPassionne,PeuPassionne,MoyPassionne,MoyPassionne,MoyPassionne,MoyPassionne,MoyPassionne,TPassionne,MoyPassionne,MoyPassionne,MoyPassionne,PeuPassionne,PeuPassionne,MoyPassionne,MoyPassionne,MoyPassionne,MoyPassionne,MoyPassionne,MoyPassionne,TPassionne,PeuPassionne,MoyPassionne,MoyPassionne,MoyPassionne,TPassionne,Pass,app
1197,MoyPassionne,PeuPassionne,MoyPassionne,TPassionne,TPassionne,TPassionne,TPassionne,MoyPassionne,MoyPassionne,MoyPassionne,MoyPassionne,MoyPassionne,MoyPassionne,MoyPassionne,MoyPassionne,MoyPassionne,PeuPassionne,TPassionne,MoyPassionne,MoyPassionne,MoyPassionne,PeuPassionne,MoyPassionne,MoyPassionne,PeuPassionne,TPassionne,MoyPassionne,PeuPassionne,MoyPassionne,MoyPassionne,Pass,app
1198,PeuPassionne,TPassionne,TPassionne,MoyPassionne,TPassionne,NonPassionne,PeuPassionne,NonPassionne,TPassionne,PeuPassionne,MoyPassionne,PeuPassionne,NonPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,MoyPassionne,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,MoyPassionne,Pass,app
1199,MoyPassionne,TPassionne,MoyPassionne,MoyPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,MoyPassionne,MoyPassionne,MoyPassionne,MoyPassionne,PeuPassionne,MoyPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,NonPassionne,Dropout,test
1200,PeuPassionne,NonPassionne,PeuPassionne,PeuPassionne,NonPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,NonPassionne,Dropout,app
1201,MoyPassionne,MoyPassionne,MoyPassionne,MoyPassionne,MoyPassionne,MoyPassionne,PeuPassionne,PeuPassionne,MoyPassionne,MoyPassionne,MoyPassionne,MoyPassionne,MoyPassionne,MoyPassionne,MoyPassionne,TPassionne,MoyPassionne,PeuPassionne,MoyPassionne,MoyPassionne,MoyPassionne,MoyPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,MoyPassionne,Pass,app
