code_etudiant,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,result
1986,3421.327,202.29,114.743,549.5439999999999,148.86599999999999,338.71900000000005,7.8,349.649,372.47800000000007,250.82600000000002,274.657,216.184,328.743,329.114,332.385,195.532,118.99999999999999,7.8,506.73,353.38000000000005,302.847,234.41199999999998,180.16400000000002,182.031,173.932,7.8,145.53,117.078,274.435,377.35,Pass
1987,1432.1399999999999,106.247,119.058,248.60899999999998,109.409,234.73899999999998,7.8,208.72299999999998,144.18699999999998,134.63400000000001,81.281,116.01700000000001,162.255,112.051,126.16300000000001,67.236,94.778,7.8,135.096,97.7,138.204,135.86100000000002,126.23,117.706,99.062,7.8,123.93199999999999,97.90700000000001,61.909000000000006,236.841,Fail
1988,1632.8449999999998,105.82499999999999,77.599,233.902,95.846,265.895,10.4,240.71500000000003,155.62599999999998,129.96099999999998,105.43,65.91,173.565,136.367,102.301,58.35900000000001,62.334,10.4,305.521,79.36699999999999,69.007,34.917,10.4,38.444,36.419,10.4,10.4,38.959,61.855,270.59000000000003,Pass
1989,573.149,93.109,91.02300000000001,129.468,97.245,52.442,10.4,36.44199999999999,35.408,48.15899999999999,10.4,10.4,10.4,10.4,82.73500000000001,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,Dropout
1990,77.352,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,Dropout
1991,48.596000000000004,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,Fail
1992,105.956,10.4,10.4,10.4,56.69199999999999,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,Dropout
1993,1605.5430000000001,120.635,156.052,190.89600000000002,99.839,190.382,10.4,202.396,348.743,276.502,166.566,213.428,176.10199999999998,179.17399999999998,40.571,98.512,72.887,10.4,277.99,141.083,121.524,91.251,64.41199999999999,47.708,43.942,10.4,63.409,10.4,45.934,292.001,Pass
1994,1157.773,163.939,150.577,154.41,76.667,10.4,10.4,105.021,36.257,10.4,10.4,169.054,44.31700000000001,42.292,37.583,10.4,10.4,10.4,50.738,10.4,100.215,10.4,33.317,10.4,10.4,10.4,10.4,10.4,10.4,184.66199999999998,Pass
1995,94.47200000000001,63.409,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,Fail
1996,3366.197,211.094,315.63300000000004,416.078,100.84,441.77099999999996,10.4,276.617,200.302,126.917,124.31200000000001,111.565,167.252,238.545,154.25900000000001,87.37800000000001,79.09700000000001,10.4,474.092,187.20799999999997,164.46300000000002,187.699,52.134,41.69199999999999,10.4,10.4,46.067,49.041999999999994,57.542,199.21400000000003,Fail
1997,981.472,93.24899999999998,74.054,179.90399999999997,124.90200000000002,206.036,10.4,120.65899999999999,106.93499999999999,111.67599999999999,58.542,52.40899999999999,96.098,10.4,81.943,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,168.578,Fail
1998,2162.633,152.293,-24.291,-15.316,74.04,7.8,7.8,7.8,9.886999999999999,105.316,110.84100000000001,97.74600000000001,55.367000000000004,121.87400000000001,56.001,36.667,81.41700000000002,7.8,398.90000000000003,44.742000000000004,80.22399999999999,91.062,7.8,49.567,7.8,7.8,7.8,7.8,7.8,79.637,Fail
1999,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,Dropout
2000,1269.1039999999998,64.883,95.78099999999999,145.287,36.878,124.745,10.4,143.023,114.10900000000001,101.73599999999999,75.771,62.632,127.93,127.80799999999999,134.87099999999998,108.401,82.34599999999999,10.4,134.839,143.13,172.606,95.704,105.94500000000001,96.07099999999998,60.958999999999996,10.4,107.645,117.63499999999999,143.1,290.383,Pass
2001,2414.8419999999996,160.892,150.369,298.004,126.89699999999999,249.046,10.4,269.457,181.036,179.717,182.524,161.51000000000002,221.32299999999998,216.12599999999998,158.329,125.231,82.706,10.4,303.651,221.173,223.53300000000002,146.208,89.59599999999999,167.219,155.029,10.4,84.382,78.14999999999999,181.066,435.72599999999994,Pass
2002,279.86899999999997,64.759,66.726,10.4,33.361999999999995,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,Dropout
2003,1020.306,55.84199999999999,104.22200000000001,133.487,80.306,128.254,10.4,109.78199999999998,116.75899999999999,59.608,40.809000000000005,10.4,114.179,98.09099999999998,102.24300000000001,101.916,10.4,10.4,154.28,135.953,149.938,141.398,53.690000000000005,10.4,10.4,10.4,10.4,10.4,10.4,174.64100000000002,Pass
2004,2470.121,179.11499999999998,195.412,158.691,97.83200000000001,137.88400000000001,7.8,223.163,180.53,255.33599999999996,181.704,230.16200000000003,197.341,193.892,135.656,188.098,163.885,7.8,276.518,144.784,190.043,125.05099999999999,98.76100000000001,118.133,117.02699999999999,7.8,108.165,84.14699999999999,154.791,385.06100000000004,Pass
2005,2321.6739999999995,121.47899999999998,143.102,216.72199999999998,106.35799999999999,287.30500000000006,7.8,268.74800000000005,219.20499999999998,175.70300000000003,189.142,192.159,196.018,218.818,196.129,169.46999999999997,163.291,7.8,380.286,196.286,237.082,181.22400000000002,127.943,152.187,201.606,7.8,156.083,152.23600000000002,223.04100000000003,388.368,Pass
2006,3145.12,153.236,103.20299999999999,128.649,135.438,239.403,10.4,224.449,222.755,136.502,192.84,170.77100000000002,234.392,164.578,164.288,179.665,88.44200000000001,10.4,294.982,176.70499999999998,194.59500000000003,172.977,103.821,154.004,118.851,10.4,92.66,47.221,49.28,134.594,Pass
2007,54.417,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,Dropout
2008,233.706,67.864,65.125,136.604,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,146.78300000000002,Dropout
2009,1532.981,106.754,89.62100000000001,189.67800000000003,87.8,44.792,10.4,81.399,91.277,100.757,70.853,48.617,177.12699999999998,60.044,65.762,77.307,48.309000000000005,10.4,321.949,90.57,105.119,35.742,88.82900000000001,52.57299999999999,63.019000000000005,10.4,43.39,42.992000000000004,41.967,382.505,Pass
2010,54.417,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,Dropout
2011,227.84300000000002,7.8,7.8,54.69299999999999,74.26500000000001,7.8,7.8,7.8,30.317999999999998,7.8,7.8,48.534,7.8,51.967,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,Fail
2012,1005.111,63.194,117.82400000000001,65.992,89.7,55.992000000000004,10.4,102.78899999999999,17.776999999999997,81.708,83.656,54.076,81.408,50.632999999999996,95.767,98.797,79.51400000000001,10.4,58.054,15.067,84.50899999999999,10.4,32.509,50.19,55.07100000000001,10.4,54.54,42.384,109.22900000000001,215.34799999999998,Pass
2013,1343.621,148.59499999999997,175.787,283.262,156.458,273.823,10.4,247.92299999999997,290.561,222.61099999999996,271.53499999999997,218.24200000000002,220.379,175.14000000000001,203.429,215.724,189.967,10.4,205.87699999999998,183.873,222.64099999999996,196.80700000000002,192.85200000000003,167.79999999999998,129.16000000000003,10.4,152.469,139.413,196.84199999999998,215.639,Pass
2014,2311.121,173.00599999999997,121.12299999999999,207.416,131.65099999999998,179.94599999999997,10.4,175.567,218.14799999999997,123.687,107.599,135.875,102.507,88.31800000000001,100.128,80.69800000000001,86.67299999999999,10.4,167.99,89.554,120.565,85.94899999999998,66.036,58.117000000000004,55.092,10.4,78.484,42.634,72.876,296.955,Pass
2015,2614.1760000000004,151.3,93.363,192.86100000000002,115.429,266.59799999999996,7.8,168.887,161.62800000000001,211.482,225.973,185.873,171.79299999999998,204.432,167.517,237.42999999999998,184.488,7.8,269.556,225.204,279.452,175.22899999999998,146.75599999999997,166.982,191.91600000000003,7.8,89.52199999999999,92.152,165.83200000000002,411.45200000000006,Pass
2016,791.583,77.923,10.4,60.437,36.614,10.4,10.4,10.4,106.868,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,105.49400000000001,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,158.321,Fail
2017,54.417,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,Dropout
2018,1543.6,159.41,170.44099999999997,85.189,117.459,53.475,10.4,57.012,105.28699999999999,170.679,25.544999999999998,110.61200000000001,82.53200000000001,78.169,54.156,18.729,3.991999999999999,10.4,353.117,76.02700000000002,79.019,34.533,128.928,122.57600000000001,36.843999999999994,10.4,78.60499999999999,43.855000000000004,66.58,185.961,Pass
2019,69.695,64.67999999999999,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,Dropout
2020,539.0360000000001,69.73,54.56699999999999,10.4,33.010999999999996,10.4,10.4,10.4,23.101999999999997,10.4,10.4,10.4,10.4,10.4,29.378,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,Fail
2021,2576.069,121.207,85.255,205.835,107.31200000000001,230.741,10.4,220.419,142.11,132.138,126.48,169.959,173.86700000000002,163.026,169.083,91.877,85.60500000000002,10.4,337.283,157.268,192.17399999999998,111.843,79.047,113.47899999999998,110.06299999999999,10.4,94.315,52.442,90.629,292.489,Pass
