code_etudiant;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
93;217.24900000000002;25.5;25.664;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5
94;336.913;26.812;25.828;25.828;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;26.156;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5
95;1019.4240000000002;25.828;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.828;25.5;25.5;25.5;25.5;25.5;25.5;28.288;25.5;25.5;25.5;25.992;25.5;25.5;25.5;25.5;25.5;25.5;25.5
96;1008.769;25.5;25.664;25.664;25.5;25.5;25.5;25.5;25.5;25.664;25.5;25.5;25.828;25.5;25.5;25.5;25.5;25.5;28.124;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;26.32
97;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5
98;93.644;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.664;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5
99;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5
100;2483.562;26.156;25.664;25.992;25.5;25.5;25.5;25.5;25.5;25.5;25.828;25.828;25.664;25.5;25.5;25.5;25.5;25.5;31.076;25.5;25.5;25.5;26.32;25.5;25.5;25.5;25.5;25.5;25.5;25.664
101;55.647000000000006;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5
102;822.6700000000001;26.484;25.5;25.664;25.5;25.5;25.5;25.5;25.5;25.828;25.5;25.664;25.828;25.5;25.5;25.5;25.5;25.5;28.451999999999998;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5
103;26.156;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5
104;1246.655;19.125;19.289;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.289;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125
105;1099.65;25.5;25.664;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.828;25.5;25.664;25.5;25.5;25.5;25.5;25.5;26.812;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.664
106;720.784;26.32;25.992;25.664;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.828;25.828;25.828;25.992;25.664;25.5;25.5;28.288;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5
107;390.049;25.664;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;26.648;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5
108;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5
109;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5
110;172.41199999999998;19.289;19.125;19.945;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;20.437;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125
