code_etudiant,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,result,type
2269,Moyen,Moyen,TBien,Moyen,Moyen,Moyen,Moyen,Moyen,TBien,TBien,TBien,TBien,TBien,Moyen,TBien,TBien,Moyen,Moyen,Moyen,TBien,TBien,TBien,TBien,TBien,TBien,Moyen,TBien,TBien,TBien,TBien,Pass,app
2270,TBien,Moyen,Moyen,Moyen,Moyen,TBien,Mediocre,Mediocre,Moyen,Moyen,Mediocre,Mediocre,Moyen,Mediocre,Moyen,Mediocre,Moyen,Mediocre,TBien,TBien,TBien,Mediocre,Mediocre,Moyen,Mediocre,Mediocre,Moyen,TBien,TBien,TBien,Pass,app
2271,Moyen,Mediocre,Moyen,Mediocre,Moyen,Moyen,Mediocre,Moyen,Moyen,Mediocre,Mediocre,Mediocre,Moyen,Moyen,TBien,Moyen,Mediocre,Mediocre,Moyen,Moyen,TBien,Mediocre,Moyen,Moyen,Mediocre,Mediocre,Mediocre,Mediocre,Moyen,TBien,Pass,app
2272,Mediocre,TBien,Moyen,Moyen,Moyen,TBien,Moyen,Moyen,TBien,TBien,Moyen,Moyen,Mediocre,Mediocre,Moyen,Mediocre,Mediocre,Moyen,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Moyen,Mediocre,Mediocre,Mediocre,Mediocre,Dropout,app
2273,Moyen,Mediocre,Mediocre,Moyen,Moyen,Mediocre,Mediocre,Mediocre,Moyen,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Faible,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Moyen,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Moyen,Fail,app
2274,Moyen,Mediocre,Moyen,Moyen,Moyen,Mediocre,Moyen,Moyen,Moyen,Mediocre,Mediocre,Mediocre,Moyen,Mediocre,Moyen,Mediocre,Moyen,Moyen,Moyen,Moyen,Moyen,Mediocre,Mediocre,Moyen,Moyen,Moyen,Mediocre,Moyen,Mediocre,Mediocre,Pass,app
2275,Moyen,Moyen,Moyen,Moyen,Moyen,Moyen,Moyen,Moyen,Moyen,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Moyen,Mediocre,Moyen,Moyen,Mediocre,Mediocre,TBien,Mediocre,Moyen,Mediocre,Mediocre,Moyen,Moyen,Mediocre,Mediocre,Moyen,Pass,test
2276,Mediocre,Mediocre,Mediocre,Mediocre,Faible,Mediocre,Moyen,Mediocre,Faible,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Moyen,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Moyen,Mediocre,Mediocre,Mediocre,Mediocre,Dropout,app
2277,Moyen,Moyen,Mediocre,TBien,Moyen,TBien,Mediocre,TBien,TBien,Moyen,Mediocre,Moyen,Moyen,TBien,TBien,Moyen,Mediocre,Mediocre,Moyen,Moyen,Moyen,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Moyen,Moyen,Pass,app
2278,Moyen,Moyen,Mediocre,Mediocre,Moyen,Mediocre,Mediocre,Mediocre,Moyen,Moyen,Mediocre,Moyen,Mediocre,Mediocre,Moyen,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Moyen,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,TBien,Pass,app
2279,TBien,Mediocre,Mediocre,Moyen,Moyen,Moyen,Moyen,TBien,TBien,Moyen,TBien,TBien,Moyen,TBien,Moyen,TBien,Moyen,Moyen,Moyen,TBien,TBien,Moyen,Moyen,Moyen,Moyen,Moyen,Mediocre,Mediocre,Mediocre,TBien,Pass,app
2280,Moyen,Mediocre,Moyen,Moyen,Moyen,Moyen,TBien,TBien,Moyen,Mediocre,Mediocre,Moyen,TBien,TBien,TBien,Moyen,Moyen,TBien,Moyen,Moyen,TBien,TBien,Moyen,Moyen,Moyen,TBien,Moyen,Moyen,Moyen,TBien,Pass,app
2281,Mediocre,Mediocre,Mediocre,Mediocre,Faible,Mediocre,Moyen,Mediocre,Faible,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Moyen,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Moyen,Mediocre,Mediocre,Mediocre,Mediocre,Dropout,app
2282,Moyen,TBien,Moyen,Mediocre,Moyen,TBien,TBien,Moyen,Moyen,Moyen,Mediocre,TBien,Moyen,Moyen,TBien,Mediocre,Moyen,TBien,Moyen,TBien,Moyen,Moyen,Moyen,Moyen,Moyen,TBien,Moyen,Moyen,Moyen,TBien,Pass,app
2283,TBien,Moyen,Moyen,Mediocre,Moyen,Moyen,Mediocre,Moyen,Moyen,Moyen,TBien,Moyen,TBien,TBien,TBien,TBien,Moyen,Mediocre,TBien,TBien,TBien,TBien,Moyen,Moyen,TBien,Mediocre,Moyen,Mediocre,Mediocre,TBien,Pass,app
2284,Mediocre,Mediocre,Mediocre,Mediocre,Moyen,Mediocre,Moyen,Mediocre,Faible,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Moyen,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Moyen,Mediocre,Mediocre,Mediocre,Mediocre,Dropout,app
2285,Mediocre,Moyen,Mediocre,Mediocre,Faible,Mediocre,Mediocre,Mediocre,Faible,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Faible,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Faible,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Dropout,app
